Ger: 0001 | Modo: DIFICIL | Fit Médio:  3410.4 | Tx Vitória Campeão:  0.0% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0002 | Modo: DIFICIL | Fit Médio:  4236.3 | Tx Vitória Campeão:  0.0% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0003 | Modo: DIFICIL | Fit Médio:  3792.1 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0004 | Modo: DIFICIL | Fit Médio: 23142.9 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0005 | Modo: DIFICIL | Fit Médio:  3496.7 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0006 | Modo: DIFICIL | Fit Médio:  4986.9 | Tx Vitória Campeão:  0.0% | Estagnação: 02 | Status: Estagnado
Ger: 0007 | Modo: DIFICIL | Fit Médio: 22492.8 | Tx Vitória Campeão: 33.3% | Estagnação: 03 | Status: Estagnado
Ger: 0008 | Modo: DIFICIL | Fit Médio:  3693.9 | Tx Vitória Campeão:  0.0% | Estagnação: 04 | Status: Estagnado
Ger: 0009 | Modo: DIFICIL | Fit Médio: 24211.9 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0010 | Modo: DIFICIL | Fit Médio:  5658.7 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0011 | Modo: DIFICIL | Fit Médio:  5504.0 | Tx Vitória Campeão:  0.0% | Estagnação: 02 | Status: Estagnado
Ger: 0012 | Modo: DIFICIL | Fit Médio:  3435.8 | Tx Vitória Campeão:  0.0% | Estagnação: 03 | Status: Estagnado
Ger: 0013 | Modo: DIFICIL | Fit Médio:  5285.7 | Tx Vitória Campeão:  0.0% | Estagnação: 04 | Status: Estagnado
Ger: 0014 | Modo: DIFICIL | Fit Médio:  4227.8 | Tx Vitória Campeão:  0.0% | Estagnação: 05 | Status: Estagnado
Ger: 0015 | Modo: DIFICIL | Fit Médio: 23367.7 | Tx Vitória Campeão: 33.3% | Estagnação: 06 | Status: Estagnado
Ger: 0016 | Modo: DIFICIL | Fit Médio: 22648.0 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0017 | Modo: DIFICIL | Fit Médio:  5345.0 | Tx Vitória Campeão:  0.0% | Estagnação: 08 | Status: Estagnado
Ger: 0018 | Modo: DIFICIL | Fit Médio:  4791.9 | Tx Vitória Campeão:  0.0% | Estagnação: 09 | Status: Estagnado
Ger: 0019 | Modo: DIFICIL | Fit Médio: 22807.4 | Tx Vitória Campeão: 33.3% | Estagnação: 10 | Status: Estagnado
Ger: 0020 | Modo: DIFICIL | Fit Médio: 23231.6 | Tx Vitória Campeão: 33.3% | Estagnação: 11 | Status: Estagnado
Ger: 0021 | Modo: DIFICIL | Fit Médio: 22529.2 | Tx Vitória Campeão: 33.3% | Estagnação: 12 | Status: Estagnado
Ger: 0022 | Modo: DIFICIL | Fit Médio: 22051.1 | Tx Vitória Campeão: 33.3% | Estagnação: 13 | Status: Estagnado
Ger: 0023 | Modo: DIFICIL | Fit Médio:  4608.9 | Tx Vitória Campeão:  0.0% | Estagnação: 14 | Status: Estagnado
Ger: 0024 | Modo: DIFICIL | Fit Médio:  2835.9 | Tx Vitória Campeão:  0.0% | Estagnação: 15 | Status: Estagnado
Ger: 0025 | Modo: DIFICIL | Fit Médio: 24600.4 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0026 | Modo: DIFICIL | Fit Médio: 23258.2 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0027 | Modo: DIFICIL | Fit Médio: 24462.3 | Tx Vitória Campeão: 33.3% | Estagnação: 02 | Status: Estagnado
Ger: 0028 | Modo: DIFICIL | Fit Médio: 25421.6 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0029 | Modo: DIFICIL | Fit Médio:  3520.1 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0030 | Modo: DIFICIL | Fit Médio: 42912.1 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0031 | Modo: DIFICIL | Fit Médio: 23874.3 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0032 | Modo: DIFICIL | Fit Médio:  3353.4 | Tx Vitória Campeão:  0.0% | Estagnação: 02 | Status: Estagnado
Ger: 0033 | Modo: DIFICIL | Fit Médio: 25860.2 | Tx Vitória Campeão: 33.3% | Estagnação: 03 | Status: Estagnado
Ger: 0034 | Modo: DIFICIL | Fit Médio: 24271.6 | Tx Vitória Campeão: 33.3% | Estagnação: 04 | Status: Estagnado
Ger: 0035 | Modo: DIFICIL | Fit Médio:  4648.5 | Tx Vitória Campeão:  0.0% | Estagnação: 05 | Status: Estagnado
Ger: 0036 | Modo: DIFICIL | Fit Médio:  3992.8 | Tx Vitória Campeão:  0.0% | Estagnação: 06 | Status: Estagnado
Ger: 0037 | Modo: DIFICIL | Fit Médio: 23028.5 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0038 | Modo: DIFICIL | Fit Médio: 24097.2 | Tx Vitória Campeão: 33.3% | Estagnação: 08 | Status: Estagnado
Ger: 0039 | Modo: DIFICIL | Fit Médio: 24002.3 | Tx Vitória Campeão: 33.3% | Estagnação: 09 | Status: Estagnado
Ger: 0040 | Modo: DIFICIL | Fit Médio:  4812.1 | Tx Vitória Campeão:  0.0% | Estagnação: 10 | Status: Estagnado
Ger: 0041 | Modo: DIFICIL | Fit Médio: 24602.6 | Tx Vitória Campeão: 33.3% | Estagnação: 11 | Status: Estagnado
Ger: 0042 | Modo: DIFICIL | Fit Médio: 43154.0 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0043 | Modo: DIFICIL | Fit Médio:  5848.1 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0044 | Modo: DIFICIL | Fit Médio: 24547.7 | Tx Vitória Campeão: 33.3% | Estagnação: 02 | Status: Estagnado
Ger: 0045 | Modo: DIFICIL | Fit Médio: 22166.8 | Tx Vitória Campeão: 33.3% | Estagnação: 03 | Status: Estagnado
Ger: 0046 | Modo: DIFICIL | Fit Médio: 23332.3 | Tx Vitória Campeão: 33.3% | Estagnação: 04 | Status: Estagnado
Ger: 0047 | Modo: DIFICIL | Fit Médio:  5143.5 | Tx Vitória Campeão:  0.0% | Estagnação: 05 | Status: Estagnado
