Ger: 0001 | Modo: FACIL | Fit Médio: 23441.1 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0002 | Modo: FACIL | Fit Médio: 22442.7 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0003 | Modo: FACIL | Fit Médio: 23795.0 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0004 | Modo: FACIL | Fit Médio: 24055.7 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0005 | Modo: FACIL | Fit Médio: 24095.2 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0006 | Modo: FACIL | Fit Médio: 42722.4 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0007 | Modo: FACIL | Fit Médio: 43653.6 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0008 | Modo: FACIL | Fit Médio: 42505.3 | Tx Vitória Campeão: 66.7% | Estagnação: 01 | Status: Estagnado
Ger: 0009 | Modo: FACIL | Fit Médio: 43962.8 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0010 | Modo: FACIL | Fit Médio: 24454.3 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0011 | Modo: FACIL | Fit Médio: 43068.3 | Tx Vitória Campeão: 66.7% | Estagnação: 02 | Status: Estagnado
Ger: 0012 | Modo: FACIL | Fit Médio: 42590.5 | Tx Vitória Campeão: 66.7% | Estagnação: 03 | Status: Estagnado
Ger: 0013 | Modo: FACIL | Fit Médio: 43000.5 | Tx Vitória Campeão: 66.7% | Estagnação: 04 | Status: Estagnado
Ger: 0014 | Modo: FACIL | Fit Médio: 42610.9 | Tx Vitória Campeão: 66.7% | Estagnação: 05 | Status: Estagnado
Ger: 0015 | Modo: FACIL | Fit Médio: 43696.4 | Tx Vitória Campeão: 66.7% | Estagnação: 06 | Status: Estagnado
Ger: 0016 | Modo: FACIL | Fit Médio: 23518.9 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0017 | Modo: FACIL | Fit Médio: 61322.4 | Tx Vitória Campeão: 100.0% | Estagnação: 07 | Status: OBJETIVO DE GENERALIZAÇÃO ATINGIDO!
