Ger: 0001 | Modo: MEDIO | Fit Médio:  5248.5 | Tx Vitória Campeão:  0.0% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0002 | Modo: MEDIO | Fit Médio:  4187.1 | Tx Vitória Campeão:  0.0% | Estagnação: 01 | Status: Estagnado
Ger: 0003 | Modo: MEDIO | Fit Médio:  4723.5 | Tx Vitória Campeão:  0.0% | Estagnação: 02 | Status: Estagnado
Ger: 0004 | Modo: MEDIO | Fit Médio: 23707.4 | Tx Vitória Campeão: 33.3% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0005 | Modo: MEDIO | Fit Médio: 23111.9 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0006 | Modo: MEDIO | Fit Médio: 22206.8 | Tx Vitória Campeão: 33.3% | Estagnação: 02 | Status: Estagnado
Ger: 0007 | Modo: MEDIO | Fit Médio: 43016.5 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0008 | Modo: MEDIO | Fit Médio: 23684.0 | Tx Vitória Campeão: 33.3% | Estagnação: 01 | Status: Estagnado
Ger: 0009 | Modo: MEDIO | Fit Médio: 42815.8 | Tx Vitória Campeão: 66.7% | Estagnação: 02 | Status: Estagnado
Ger: 0010 | Modo: MEDIO | Fit Médio: 24517.1 | Tx Vitória Campeão: 33.3% | Estagnação: 03 | Status: Estagnado
Ger: 0011 | Modo: MEDIO | Fit Médio: 42476.5 | Tx Vitória Campeão: 66.7% | Estagnação: 04 | Status: Estagnado
Ger: 0012 | Modo: MEDIO | Fit Médio: 23707.0 | Tx Vitória Campeão: 33.3% | Estagnação: 05 | Status: Estagnado
Ger: 0013 | Modo: MEDIO | Fit Médio: 24423.4 | Tx Vitória Campeão: 33.3% | Estagnação: 06 | Status: Estagnado
Ger: 0014 | Modo: MEDIO | Fit Médio: 26185.9 | Tx Vitória Campeão: 33.3% | Estagnação: 07 | Status: Estagnado
Ger: 0015 | Modo: MEDIO | Fit Médio: 24506.7 | Tx Vitória Campeão: 33.3% | Estagnação: 08 | Status: Estagnado
Ger: 0016 | Modo: MEDIO | Fit Médio: 42108.2 | Tx Vitória Campeão: 66.7% | Estagnação: 09 | Status: Estagnado
Ger: 0017 | Modo: MEDIO | Fit Médio: 43607.9 | Tx Vitória Campeão: 66.7% | Estagnação: 00 | Status: Novo Recorde de Adaptação
Ger: 0018 | Modo: MEDIO | Fit Médio: 42741.5 | Tx Vitória Campeão: 66.7% | Estagnação: 01 | Status: Estagnado
Ger: 0019 | Modo: MEDIO | Fit Médio: 41984.7 | Tx Vitória Campeão: 66.7% | Estagnação: 02 | Status: Estagnado
